Creating frame-specific output for files:
run-umbrella.sh
     frame      dist    d_dist
         0     0.504        NA
       176     0.706     0.202
       185     0.901     0.195
       190     1.095     0.194
       195     1.312     0.217
       202     1.517     0.205
       207     1.708     0.191
       213     1.908     0.200
       219     2.096     0.188
       230     2.292     0.196
       240     2.509     0.217
       256     2.696     0.187
       270     2.906     0.210
       288     3.106     0.200
       301     3.302     0.196
       320     3.512     0.210
       338     3.714     0.202
       359     3.909     0.195
       373     4.108     0.199
       390     4.301     0.193
       402     4.501     0.200
       432     4.701     0.200
       446     4.898     0.197
       470     5.096     0.198
       485     5.295     0.199
       491     5.327     0.032

